comparator,comparator_label,starting_resistant_fraction,seed_label,infectiousness_reduction,profiles_matching_comparator,countries_evaluated
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0,8,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.05,8,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.1,9,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.15,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.2,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.25,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.3,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.35,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.4,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.45,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.5,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.55,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0,0%,0.6,10,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.05,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.1,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.15,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.2,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.25,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.3,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.35,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.4,2,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.45,2,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.5,6,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.55,8,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.01,1%,0.6,8,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.05,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.1,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.15,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.2,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.25,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.3,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.35,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.4,2,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.45,2,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.5,6,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.55,7,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.03,3%,0.6,8,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.05,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.1,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.15,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.2,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.25,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.3,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.35,0,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.4,1,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.45,2,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.5,6,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.55,7,10
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.6,8,10
resistance_guided_treatment,Resistance-guided management,0,0%,0,1,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.05,1,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.1,5,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.15,9,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.2,10,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.25,10,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.3,10,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.35,10,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.4,10,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.45,10,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.5,10,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.55,10,10
resistance_guided_treatment,Resistance-guided management,0,0%,0.6,10,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0,0,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.05,0,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.1,0,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.15,0,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.2,0,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.25,0,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.3,0,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.35,1,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.4,1,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.45,1,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.5,1,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.55,2,10
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.6,3,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0,0,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.05,0,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.1,0,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.15,0,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.2,0,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.25,0,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.3,0,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.35,0,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.4,1,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.45,1,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.5,2,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.55,2,10
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.6,3,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.05,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.1,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.15,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.2,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.25,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.3,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.35,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.4,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.45,0,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.5,1,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.55,1,10
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.6,2,10
